,track_id,name,genre
134,TRXHJXZ128F423A18E,Immigrant Song,Country
289,TRFNFGI128F930A920,Today,Country
362,TRUSCDW128F423A18B,Dazed and Confused,Country
388,TRZDIFQ128E078EA8E,Tell Me Baby,Country
839,TRCGGXV128F428D866,Me and Bobby McGee,Country
890,TRSOGLG128F9329506,Still Loving You,Country
935,TRBPBYN12903CC78B0,Roll With It,Country
1166,TRYWBFM128F92FB0BE,Dead Leaves and the Dirty Ground,Country
1245,TRJPPZX128F93359BB,Tame,Country
1253,TRYWSSS128E0794EEA,Detroit Rock City,Country
1448,TRDCALN128F42BC549,Nobody's Home,Country
1451,TRLKQNI128E078E9E6,The Man Comes Around,Country
1755,TRRZDYD128F428BC8B,Runnin' With the Devil,Country
1826,TRIMAQA128F421A0D3,Fame,Country
1864,TRDQNPG128F92F825E,3rd Planet,Country
2096,TRXBVRM128F4283254,One More Time,Country
2957,TRBABRK128E078FC14,Don't Tell Me,Country
3244,TRZBKZY128F42957F2,Kerosene,Country
3337,TRBAHFN128E0794EEE,Touch Too Much,Country
3598,TRRHDQB128F93181C1,I'll Be Gone,Country
3719,TRREYEX128F42807EB,The Good Life,Country
3904,TRHGHXW128F145CA94,Now That I Know,Country
4895,TRVVDCX128F147B0C6,Before She Does,Country
5396,TRZZOAK128F92F8D80,Fancy,Country
5579,TRPCUVT128F92CDEF7,Camaro,Country
5663,TRUGJGD128F421B699,Fingerprints,Country
5776,TRIOIBG128F148ADED,Family Tree,Country
5791,TRAMCZN128F146C762,Paper Aeroplane,Country
5966,TRCCZWQ128F930900B,Day Is Done,Country
6123,TRXRTQY128F4262EFA,Cheap Thrills,Country
6357,TRIOZQM128F42AC55B,I'll Be There,Country
6454,TRGCTOI128F42AFA7D,Working Class Hero,Country
6466,TRNOFAT12903CAAB09,It's Gonna Be Me,Country
6604,TRULCQT12903D02EA8,Hurricane Jane,Country
6631,TRNNUMY12903CBA308,You're Not Sorry,Country
6729,TRVYJCY128F92DE225,Hey Stephen,Country
6790,TRPSFMW128F42AE12A,Not Ready To Make Nice,Country
6867,TRQRBJK12903CCC08F,American Honey,Country
6929,TRGMZNT128F92DE267,Tim McGraw,Country
6958,TRXZIMW128F92DE236,The Best Day,Country
6963,TRLVJHB128F92CCFF8,I Was Here,Country
6979,TRCZOWB128F4264582,If Looks Could Kill,Country
7031,TRCRWHC128F92C260B,Gunpowder & Lead,Country
7051,TRJFGJD128F426408C,So Gone,Country
7072,TRNLQMC128F9313F49,Cowboy Casanova,Country
7118,TROMNMH128F1459DF2,Almost Doesn't Count,Country
7173,TRLQBEN128F92E7415,Wild Things,Country
7260,TRSZUXR128F92F5F44,Cowboy Take Me Away,Country
7333,TRYRTTK128F428A27C,Heaven and Hell,Country
7533,TRHGVHR128F428B132,Big Balls,Country
7743,TRHQISZ128F148CF1E,Die With Your Boots On,Country
7838,TRCPQVU128F92E723C,Speak,Country
8004,TRIMBHD128F9347333,I Can't Remember,Country
8188,TRQSGGU128F9320EE6,Empty Hearts,Country
8253,TRTJRHG128F426250C,Desperate Times,Country
9036,TRLMELE128F428FD9E,Over the Rainbow,Country
9325,TROKHJC128F42A37CF,Mr. Bojangles,Country
9456,TRINTJW128F92FE892,Sweet By and By,Country
9644,TRXTHYK128E078E93C,Going Down,Country
9646,TRUKCPM12903CB81E9,Learnin' the Blues,Country
9756,TREYMLQ128F426591B,Tried And True,Country
9867,TREJWUR12903CEA408,Tell It To Me,Country
9869,TRDJVMU128F92FBDB3,If You Were Mine,Country
9961,TRXPGRG128F932D491,It's Over,Country
10070,TRADDCI128F42B2621,Love Gun,Country
10226,TROHXIP128F4269AFB,My Hometown,Country
10251,TRXFGJX128F426345F,Can't You See,Country
10269,TRNBZMV128F42B261C,Calling Dr. Love,Country
10301,TRRSWWR128F4255C69,I've Been Everywhere,Country
10554,TRLRPMC128F9330A41,I Found A Reason,Country
10992,TRXJZOY128F428BC92,Marijuana,Country
11243,TRAIKBB128F428AD73,I'll Come Running,Country
11246,TROJWLM128F4271B63,Still,Country
11770,TRADYYF128F1459C8E,Years,Country
