,track_id,name,artist
0,TRIOREW128F424EAF0,Mr. Brightside,The Killers
1,TRRIVDJ128F429B0E8,Wonderwall,Oasis
2,TROUVHL128F426C441,Come as You Are,Nirvana
3,TRUEIND128F93038C4,Take Me Out,Franz Ferdinand
4,TRLNZBD128F935E4D8,Creep,Radiohead
5,TRUMISQ128F9340BEE,Somebody Told Me,The Killers
6,TRVCCWR128F9304A30,Viva la Vida,Coldplay
7,TRXOGZT128F424AD74,Karma Police,Radiohead
8,TRMZXEW128F9341FD5,The Scientist,Coldplay
9,TRUJIIV12903CA8848,Clocks,Coldplay
10,TRIODZU128E078F3E2,Under the Bridge,Red Hot Chili Peppers
11,TRURKLR12903CEBD47,Seven Nation Army,The White Stripes
12,TRYEZGE128F92D04C8,Feel Good Inc.,Gorillaz
13,TRUENYK128F4274057,Chop Suey!,System of a Down
14,TRXNTMB12903CA884A,Fix You,Coldplay
15,TRREXPI128E078EE14,Lithium,Nirvana
16,TRAJBOD128F9303DCD,Song 2,Blur
17,TRFNTDZ128F426B34D,In the End,Linkin Park
18,TRCSXPV128F425E2F7,Chasing Cars,Snow Patrol
19,TRDKPRZ128F92F37EA,Otherside,Red Hot Chili Peppers
20,TRIQRZJ128F14898B4,When You Were Young,The Killers
21,TRRPNNQ12903CB411A,Supermassive Black Hole,Muse
22,TRRSVFJ128F426FB31,Bohemian Rhapsody,Queen
23,TRWEHTV12903D086FC,Use Somebody,Kings of Leon
24,TRLSLNY128F93265C9,Starlight,Muse
25,TRIQWYH128F1486062,Paranoid Android,Radiohead
26,TRXZBFS128F92F24D2,Everlong,Foo Fighters
27,TRAGABG12903CEC68B,No Surprises,Radiohead
28,TRBBHPO128F930F55D,Iris,Goo Goo Dolls
29,TRXCXKA128F92E6258,Numb,Linkin Park
30,TRLQLBZ128F42A70F4,Zombie,The Cranberries
31,TRJLKMS128F1494A77,Dani California,Red Hot Chili Peppers
32,TRUOEWJ128F9345A85,Stairway to Heaven,Led Zeppelin
33,TRJVKZX128F4236A44,Welcome to the Jungle,Guns N' Roses
34,TRUTNPC128F9300385,Clint Eastwood,Gorillaz
35,TRCPUIV128E079280D,Paint It Black,The Rolling Stones
36,TROIDPM12903CBDB4D,Reptilia,The Strokes
37,TRIPMMN12903CF4B8A,The Pretender,Foo Fighters
38,TRIWYMW128F145E0F9,All These Things That I've Done,The Killers
39,TRAOMFT128F42A7684,Losing My Religion,R.E.M.
40,TRFOPON12903CDF30E,Paranoid,Black Sabbath
41,TRXENSY128F4286505,Time Is Running Out,Muse
42,TRSXCET128F92EB269,I Kissed a Girl,Katy Perry
43,TRNNGMK128F423F034,Where Is My Mind?,Pixies
44,TRAALAH128E078234A,Bitter Sweet Symphony,The Verve
45,TRQFICK128F92F5190,Toxicity,System of a Down
46,TRVRWFY128F4286EF9,Basket Case,Green Day
47,TRADPIA128E078EE1B,Heart-Shaped Box,Nirvana
48,TRFKBXC128F4243FFD,By the Way,Red Hot Chili Peppers
49,TRCYMBL128F4289BC1,I Will Follow You Into The Dark,Death Cab for Cutie
50,TRIMWJA128F9309A68,Smile Like You Mean It,The Killers
51,TRRISDV128F42A72DA,Hysteria,Muse
52,TRSFPEE128F429B0EE,In Bloom,Nirvana
53,TRXDGZZ128F92F9696,Love Will Tear Us Apart,Joy Division
54,TRRSZKD128F933D41E,Don't Stop Believin',Journey
55,TRFNNSW12903CDCD85,Someday,The Strokes
56,TRCYFSS128F934406C,Don't Panic,Coldplay
57,TREFXDG128F421F525,Boulevard of Broken Dreams,Green Day
58,TRAIOMW12903CB235C,Back in Black,AC/DC
59,TRPFYYL128F92F7144,Float On,Modest Mouse
60,TRAAZQM128F93042E6,Bring Me to Life,Evanescence
61,TRLPNCR128F4262D8E,Can't Stop,Red Hot Chili Peppers
62,TRXZXTP12903CB667B,She Will Be Loved,Maroon 5
63,TRFROHP128F9309571,Nothing Else Matters,Metallica
64,TRDOMPC128F4236A4D,Paradise City,Guns N' Roses
65,TRUGANP12903CB2C46,Naïve,The Kooks
66,TRFNTRW128F422C28C,Trouble,Coldplay
67,TRFWGOJ128E0780C8B,In My Place,Coldplay
68,TRRSJTI128F423D1C1,No One Knows,Queens of the Stone Age
69,TRHMVGF128E078ED9B,Rape Me,Nirvana
70,TRUIVAV128F424A428,Polly,Nirvana
71,TRUFXWT128F147928F,Hurt,Johnny Cash
72,TRCUKNC12903CA03A6,High and Dry,Radiohead
73,TRCRCBT128F4260DD1,Such Great Heights,The Postal Service
74,TRSCMBY128F9311188,Mardy Bum,Arctic Monkeys
75,TRYFDIV128F42BAF81,Fake Plastic Trees,Radiohead
76,TRCSKKO128EF33DD14,Sweet Home Alabama,Lynyrd Skynyrd
77,TRYJPIH128F4262602,This Love,Maroon 5
78,TREIGEZ12903CD2F22,Don't Look Back in Anger,Oasis
79,TRAAHSY128F147BB5C,Speed of Sound,Coldplay
80,TRQEQMC128F4251B04,Break on Through (to the Other Side),The Doors
81,TRJQVPN128F932BE9C,Here Without You,3 Doors Down
82,TRJCDDQ128F429B0E4,Black Hole Sun,Soundgarden
83,TRPSVTL128F936017F,Sultans of Swing,Dire Straits
84,TRDYCXM128F424421F,Another One Bites the Dust,Queen
85,TRDKODA128F92FAF36,Learn to Fly,Foo Fighters
86,TRDILER128F425B313,Kryptonite,3 Doors Down
87,TRXCSBC128E07943A1,Radioactive,Imagine Dragons
88,TRIQAMB128F4248D92,Are You Gonna Be My Girl,Jet
89,TRPITSC128F92E27C0,Wake Me Up When September Ends,Green Day
90,TRXNSKZ128F427F1FB,Last Nite,The Strokes
91,TRCSOOX128F423EDE7,All Apologies,Nirvana
92,TRASRXK128F9311176,Fake Tales of San Francisco,Arctic Monkeys
93,TRRVVTK128F422BB5D,Don't Stop Me Now,Queen
94,TROCLWN128F92EB284,Fluorescent Adolescent,Arctic Monkeys
95,TRWQINA128F9339E57,Buddy Holly,Weezer
96,TRXPXGP128F9319B6D,Island in the Sun,Weezer
97,TRRKQMW128F9312597,Banquet,Bloc Party
98,TRFOVTO128F4228CC3,Fortunate Son,Creedence Clearwater Revival
99,TRINBYX128E0788920,1979,The Smashing Pumpkins
100,TRXCCHH128F429C0A9,Lonely Day,System of a Down
101,TRUFSZX128F9325AAB,Every Breath You Take,The Police
102,TRYFESD128F424095C,How You Remind Me,Nickelback
103,TRGAIDZ128F92EF7A1,Don't Speak,No Doubt
104,TRRGJNU128F92F42BF,Light My Fire,The Doors
105,TRCBZKH128F4277109,We Will Rock You,Queen
106,TRCPPBY128F92F4290,Dream On,Aerosmith
107,TRXIBFG128F42A4CFF,The Kids Aren't Alright,The Offspring
108,TRVKVCD128F42803D8,Everything in Its Right Place,Radiohead
109,TRXTJPE128F424981D,Boys Don't Cry,The Cure
110,TROPNWM128F1488325,Just Like Heaven,The Cure
111,TRBRRRZ128F930AB47,One Step Closer,Linkin Park
112,TRGDQFS128F933AD5C,Violet Hill,Coldplay
113,TRCQJSC12903D00F96,Beautiful Day,U2
114,TRXZHUK128F424B8BF,With or Without You,U2
115,TRRGTOV128F425B9D1,I Hate Everything About You,Three Days Grace
116,TRRIGXH12903CB17E1,The Reason,Hoobastank
117,TRCRWSN128F4236A4B,November Rain,Guns N' Roses
118,TRCTRMZ128F92FD9E4,People Are Strange,The Doors
119,TRRXNZP128F422157F,The Middle,Jimmy Eat World
120,TRCTKZT128F421F258,Gimme Shelter,The Rolling Stones
121,TROTLJX128F92FECBB,My Hero,Foo Fighters
122,TRQBGQI128F4267F9B,All Along the Watchtower,Jimi Hendrix
123,TRBNYBX128F422EC61,Hey There Delilah,Plain White T's
124,TRAAXZC128F9360095,When the Sun Goes Down,Arctic Monkeys
125,TRLGOOE128F42530B0,Like a Rolling Stone,Bob Dylan
126,TRKVHUM128F4241E3E,The House of the Rising Sun,The Animals
127,TRBBVGN128F931CBE4,Come Together,The Beatles
128,TRSJJWD128F930EAD7,What I've Done,Linkin Park
129,TRDMUWU128E078EDDB,Dumb,Nirvana
130,TRGTHCA128E0782187,Airbag,Radiohead
131,TRDBEXV128F42A4ABC,B.Y.O.B.,System of a Down
132,TRFOWKL12903CB3227,Sympathy for the Devil,The Rolling Stones
133,TRILDGP128F42668BC,Alive,Pearl Jam
134,TRXHJXZ128F423A18E,Immigrant Song,Led Zeppelin
135,TRARTEH128F423DBC1,15 Step,Radiohead
136,TRUDYJT12903CCCC61,Money,Pink Floyd
137,TRLKCAU128F934E9D9,Loser,Beck
138,TRLMSAQ128F92E2532,Let It Be,The Beatles
139,TRCRNBX128F9308D20,Dancing Shoes,Arctic Monkeys
140,TROLXYT12903D0708D,Eye of the Tiger,Survivor
141,TRRGBWT128F4274A56,Drive,Incubus
142,TRYALRP128F92F521E,Aerials,System of a Down
143,TRUGBPO128F92ECC3A,All I Need,Radiohead
144,TRJDZYA128F4264734,Ace of Spades,Motörhead
145,TRCVXOW12903CE3516,Ruby,Kaiser Chiefs
146,TRCUFYM12903CC389B,1901,Phoenix
147,TRUDPNV12903CB0572,Sunshine of Your Love,Cream
148,TRDDCSY128F92EA721,Beat It,Michael Jackson
149,TRXGEOD128F9310F1B,(I Can't Get No) Satisfaction,The Rolling Stones
150,TRUTLBV128F4263993,Better Together,Jack Johnson
151,TRADJEA128F9322AA5,Crawling,Linkin Park
152,TRTVBCS128F92FC322,More Than a Feeling,Boston
153,TRWVOJJ12903CCC654,My Immortal,Evanescence
154,TRFNMWD128F930CD13,Closer,Kings of Leon
155,TRGAYVX128F42690AD,Let Down,Radiohead
156,TRIMAIK128F14AFBE5,All My Life,Foo Fighters
157,TRFNBSB128F932AC25,Paradise,Coldplay
158,TRIPQLR128F93094C4,Human,The Killers
159,TRALASU128F9319112,Yesterday,The Beatles
160,TRRJXQO128F42581B4,Maps,Yeah Yeah Yeahs
161,TRRUOJE128F931C966,Reckoner,Radiohead
162,TRCTFWI128F930FE9A,What You Know,Two Door Cinema Club
163,TRFOWYR12903CA46E4,Smoke on the Water,Deep Purple
164,TRCRDWS128F92D1A2F,Talk,Coldplay
165,TRYNFDF12903CBCCF6,Whole Lotta Love,Led Zeppelin
166,TRRNKKU128EF3435E1,What's My Age Again?,blink-182
167,TRIMBSF128F92FDD26,Last Resort,Papa Roach
168,TROHAZZ128F4267B10,Hallelujah,Jeff Buckley
169,TRHHSUX128F932E546,Bodysnatchers,Radiohead
170,TRFSAXM128F931B0C4,Iron Man,Black Sabbath
171,TRKLWVQ128F933AE91,Riders on the Storm,The Doors
172,TRIVUID128F4265622,Sweet Disposition,The Temper Trap
173,TRXJQYQ128F92DB510,Baba O'Riley,The Who
174,TRMANRN128F9333924,You Only Live Once,The Strokes
175,TRXBTXG128F9305E78,Lisztomania,Phoenix
176,TRGBCJL128F4258637,Help!,The Beatles
177,TRUDJQA128F930F7B9,Lucky,Radiohead
178,TRPORLF128F426A718,Even Flow,Pearl Jam
179,TRITVFR128E078EE0B,Drain You,Nirvana
180,TRFXBVX128F4265DC7,Bulls on Parade,Rage Against the Machine
181,TRXFHME128F92DFB12,Black Dog,Led Zeppelin
182,TRUWYFM128F424933F,Master of Puppets,Metallica
183,TRDEWAJ12903CDC8EE,House of Cards,Radiohead
184,TRRVSYR128E0798025,Good Riddance (Time of Your Life),Green Day
185,TRBXUJJ128F421929B,Killer Queen,Queen
186,TRAVBMS128F1458D8C,Give It Away,Red Hot Chili Peppers
187,TRMJVCV128F4230135,Idioteque,Radiohead
188,TROKJKV128F42803DE,Subterranean Homesick Alien,Radiohead
189,TRRJWUB128F9312A92,Breed,Nirvana
190,TRULNMQ128F92E1FDA,Plug In Baby,Muse
191,TRJOQLY128F425E529,Here Comes the Sun,The Beatles
192,TRILWTF12903CE22FA,Nude,Radiohead
193,TRIVFNE128F92F5951,You're Beautiful,James Blunt
194,TRFYALP128F4281930,Rebellion (Lies),Arcade Fire
195,TRFPXKB128F425A4F1,Helicopter,Bloc Party
196,TRYGLSM128F425966C,London Calling,The Clash
197,TRXDBRF128F930DC7D,Bad Moon Rising,Creedence Clearwater Revival
198,TRLKCDH128F429020E,One,Metallica
199,TRUGQEP12903CD3CA2,Shiver,Coldplay
200,TRVMWAV128F42435A0,You Shook Me All Night Long,AC/DC
201,TRCWGFY128F92CBA0B,Hey Jude,The Beatles
202,TRUDOXW128F92F2773,Wake Up,Arcade Fire
203,TRNKLCC128F4219282,We Are the Champions,Queen
204,TROIVMX128F4275985,Say It Ain't So,Weezer
205,TRDDQVR128F424B197,The Kill,30 Seconds to Mars
206,TRBENMR12903CE9B16,Dirty Harry,Gorillaz
207,TRACVBT128F92F8BE2,Seaside,The Kooks
208,TRRZOHT128F423AB57,The Funeral,Band of Horses
209,TRGJTIY128F4296A0E,All You Need Is Love,The Beatles
210,TRPAFCY128F931119B,A Certain Romance,Arctic Monkeys
211,TRRHHOO12903CBCACC,Times Like These,Foo Fighters
212,TRILAJY12903D1353D,Imagine,John Lennon
213,TRFQCHJ12903CFB21A,"Tonight, Tonight",The Smashing Pumpkins
214,TRXCBKZ128F932D6E3,Lullaby,The Cure
215,TRJGACD128F9347658,Roxanne,The Police
216,TRREXTV128F14A3A72,Eleanor Rigby,The Beatles
217,TRUGZRR128F427E2AC,Jeremy,Pearl Jam
218,TRFVODL128F92E2A79,Torn,Natalie Imbruglia
219,TRJZDTU128F4248A37,Yellow Submarine,The Beatles
220,TRXIIFL128F9327395,When I Come Around,Green Day
221,TRUDLLR128F42A961D,Lonely Boy,The Black Keys
222,TROHBTQ128F427ECF2,Holiday,Green Day
223,TRUDLKK12903CBFFC1,Lovesong,The Cure
224,TRCQKEZ128F933F180,Behind Blue Eyes,Limp Bizkit
225,TRZODCU128F933923E,Chelsea Dagger,The Fratellis
